	lang	avg_score
0	iw	0.0019443692451260111
1	sv	0.007384731776201171
2	de	0.0003777395970470809
3	ja	0.007755661291441665
4	nl	7.539431848059665e-05
5	vi	0.0016149053398830267
6	pl	0.020761239553994566
7	zh-TW	0.0004174375912234455
8	en	0.00035714993529671553
9	uk	0.015863600871310165
10	zh	0.0012743684815226756
11	es	0.0005952925691566034
12	ca	0.008238420124521749
13	it	0.01815977572492859
14	ru	0.006071214820865329
15	pt	0.020136659284140532
16	cs	0.010489422985268509
17	fr	0.0009333406503363946
18	ar	0.001018023223698997
19	hu	0.00019336991290622543
