	lang	meteor
0	iw	0.02278112693217608
1	sv	0.0745989107590974
2	de	0.031329456620662936
3	ja	0.00036150410564267463
4	nl	0.048676791860853934
5	vi	0.06340733415569125
6	pl	0.034367636188239396
7	zh-TW	0.00298651610796731
8	en	0.06952882999741984
9	uk	0.02552984759418421
10	zh	0.0008635241080019671
11	es	0.10016515621842681
12	ca	0.06342961453745591
13	it	0.021637145283030783
14	ru	0.04258041003652519
15	pt	0.03108048251935388
16	cs	0.026700619469491343
17	fr	0.09042537877884985
18	ar	0.01995428675483936
19	hu	0.03513738499013136
