	lang	rouge1	rouge2	rougeL	rougeLsum
0	iw	0.004774305555555555	0.0	0.0046875	0.004774305555555555
1	sv	0.07035256873443918	0.00637875318692404	0.06639390162035504	0.06618214377832013
2	de	0.038905737548953115	0.0034759229840649938	0.036002757242834346	0.03610898468571428
3	ja	0.0007496251874062968	0.0	0.0007496251874062968	0.0007496251874062968
4	nl	0.06930512692685671	0.007185587476011578	0.06440759976516046	0.06481605262478117
5	vi	0.29503130906026626	0.061131069940697544	0.21733452431109296	0.21760671754036406
6	pl	0.057643818984012635	0.0049796951472780805	0.055187966743796224	0.05492113133231302
7	zh-TW	0.0015503875968992248	0.0015503875968992248	0.0015503875968992248	0.0018604651162790697
8	en	0.09704517826031188	0.010383605830238597	0.08973851740197511	0.08989064038857882
9	uk	0.0018855864493448385	0.0005369127516778524	0.0017897091722595077	0.0018855864493448385
10	zh	0.0	0.0	0.0	0.0
11	es	0.12147520513019865	0.015693885484563415	0.11019006542645506	0.11007910558630701
12	ca	0.08764120945472147	0.010730672170687067	0.07972026253664323	0.0794786502151611
13	it	0.017408006591295006	6.69478476266988e-05	0.01692223149065348	0.016997303561995074
14	ru	0.0020595394120951137	0.0	0.0016850777008050929	0.0020595394120951137
15	pt	0.025643703738093823	0.0	0.025088118268363747	0.024937714902394013
16	cs	0.0536100759285357	0.00396358514864906	0.04808633011356844	0.04823175861710327
17	fr	0.0858778935852921	0.013378914639415648	0.07868561001509354	0.07870195294212673
18	ar	0.0	0.0	0.0	0.0
19	hu	0.07416801870731134	0.010125616284283807	0.06827278130885359	0.06804827494492392
